,result,table,_start,_stop,_time,_measurement,label,mobile,alpha,beta,gamma,x,y,z
60,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.310000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.1,0.0,0.0,9.9
61,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.326000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
62,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.343000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
63,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.360000+00:00,devicemotion,sitting,UnknownPhone,0.0,-0.1,0.0,0.0,0.0,9.9
64,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.376000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
65,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.393000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
66,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.410000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
67,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.426000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
68,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.443000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
69,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.459000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
70,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.476000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
71,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.493000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
72,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.510000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,-0.1,0.0,0.0,9.9
73,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.527000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.1,0.0,0.0,0.0,9.9
74,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.543000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
75,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.560000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,-0.1,0.0,0.0,9.9
76,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.576000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.1,0.0,0.0,0.0,9.9
77,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.593000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
78,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.610000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.1,0.0,0.0,9.9
79,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.627000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
80,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.643000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
